상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,상호명_소문자,브랜드명
20082320,스타벅스,서초동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165051000,서초1동,1165010800,서초동,1165010800214390014,1,대지,1439,14.0,서울특별시 서초구 서초동 1439-14,116504163079,서울특별시 서초구 남부순환로339길,64,,1165010800114390014000001,현우빌딩,서울특별시 서초구 남부순환로339길 64,137070,6722.0,,1,,127.021572760891,37.4859161526789,스타벅스,스타벅스
20488763,스타벅스압구정로데오역,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168056500,청담동,1168010400,청담동,1168010400200840003,1,대지,84,3.0,서울특별시 강남구 청담동 84-3,116803122006,서울특별시 강남구 선릉로,836,,1168010400100840003017382,삼원빌딩,서울특별시 강남구 선릉로 836,135954,6014.0,,1,,127.040513119755,37.5265378643378,스타벅스압구정로데오역,스타벅스
19967765,스타벅스,이대이씨씨점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141058500,신촌동,1141011200,대현동,1141011200200110001,1,대지,11,1.0,서울특별시 서대문구 대현동 11-1,114104136322,서울특별시 서대문구 이화여대길,52,,1141011000100011612026014,이화여자대학교,서울특별시 서대문구 이화여대길 52,120750,3760.0,,4,,126.95030147676901,37.5642810556138,스타벅스,스타벅스
20054384,스타벅스연대동문,연대동문점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141058500,신촌동,1141011300,대신동,1141011300201150000,1,대지,115,,서울특별시 서대문구 대신동 115,114103005060,서울특별시 서대문구 성산로,565,,1141011300101150000000001,연세재단Y빌딩,서울특별시 서대문구 성산로 565,120160,3721.0,,,,126.946321109963,37.5664080915476,스타벅스연대동문,스타벅스
20325090,스타벅스,청담공원점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168058000,삼성1동,1168010500,삼성동,1168010500200530000,1,대지,53,,서울특별시 강남구 삼성동 53,116803122011,서울특별시 강남구 학동로,506,,1168010500100530004014720,성일빌딩,서울특별시 강남구 학동로 506,135090,6084.0,,1,,127.05143962260401,37.518687851269,스타벅스,스타벅스
20391638,스타벅스,강남구청역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1168010800202410007,1,대지,241,7.0,서울특별시 강남구 논현동 241-7,116803122006,서울특별시 강남구 선릉로,669,,1168010800102410007006090,상경빌딩,서울특별시 강남구 선릉로 669,135010,6099.0,,1,,127.041239849867,37.51660515603879,스타벅스,스타벅스
23369079,스타벅스,등촌점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1150010200206680009,1,대지,668,9.0,서울특별시 강서구 등촌동 668-9,115002005007,서울특별시 강서구 공항대로,329,,1150010200106680009025255,청호프라자,서울특별시 강서구 공항대로 329,157030,7591.0,,1,,126.844334259983,37.5582364999702,스타벅스,스타벅스
19969315,스타벅스서울대입구역점,서울대입구역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162059500,청룡동,1162010100,봉천동,1162010100208690001,1,대지,869,1.0,서울특별시 관악구 봉천동 869-1,116202000003,서울특별시 관악구 남부순환로,1812,,1162010100108690001035236,윤건빌딩,서울특별시 관악구 남부순환로 1812,151050,8787.0,,1,,126.95131919862499,37.4811055353469,스타벅스서울대입구역점,스타벅스
19999786,스타벅스신림점,신림점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162069500,신림동,1162010200,신림동,1162010200214320071,1,대지,1432,71.0,서울특별시 관악구 신림동 1432-71,116203120005,서울특별시 관악구 신림로,355,1.0,1162010200114320077012598,,서울특별시 관악구 신림로 355-1,151892,8760.0,,1,,126.929154905595,37.4860877636316,스타벅스신림점,스타벅스
20006883,스타벅스강남삼성타운점,강남삼성타운점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165052000,서초2동,1165010800,서초동,1165010800213270005,1,대지,1327,5.0,서울특별시 서초구 서초동 1327-5,116504163436,서울특별시 서초구 서초대로78길,24,,1165010800113270006022451,스타벅스,서울특별시 서초구 서초대로78길 24,137070,6621.0,,1,,127.027735014225,37.4955362431632,스타벅스강남삼성타운점,스타벅스
