"교유번호","명칭","파일경로","위도","경도"
"202","서대문구청","홍제천길.kmz","37.5793625","126.9364549"
"203","안산","홍제천길.kmz","37.5785655","126.9428109"
"204","폭포마당 인근","홍제천길.kmz","37.5825482","126.9369852"
"205","홍제사거리 인근","홍제천길.kmz","37.5902368","126.9391698"
"206","포방교 인근","홍제천길.kmz","37.5982081","126.9489247"
"207","옥천암 인근","홍제천길.kmz","37.5965476","126.9538347"
"208","홍제역 지하철 3호선","홍제천길.kmz","37.5883627","126.9444284"
"209","가좌역 지하철 경의선","홍제천길.kmz","37.5687423","126.9154994"
"210","우진밧데리 인근","성북천 길.kmz/임시 장소","37.5883327","127.0192143"
"211","로봇박물관","성북천 길.kmz/임시 장소","37.5833929","127.0041557"
"212","새절역 인근","불광천길.kmz","37.5900983","126.9136519"
"213","몽촌토성","성내천 길.kmz","37.5225914","127.1181513"
"214","오륜사거리 인근","성내천 길.kmz","37.5085724","127.1363596"
"215","한성백제박물관","성내천 길.kmz","37.5153926","127.1209617"
"216","서울숲 인근","성동광진구한강길.kmz","37.5416861","127.0288166"
"217","뚝섬유원지 인근","성동광진구한강길.kmz","37.5304851","127.0662474"
"218","강변역 지하철 2호선","성동광진구한강길.kmz","37.5346797","127.0949809"
"219","개명초등학교 인근","목감천.kmz","37.4815767","126.8500047"
"220","한국현대의상박물관","성북천 길.kmz/임시 장소","37.5755513","127.0053606"
"221","가든파이브","세곡천.kmz","37.4777169","127.124808"
"222","잠실한강공원 인근","송파강동 한강길.kmz","37.5194129","127.0711709"
"223","고덕천 인근","송파강동 한강길.kmz","37.5707205","127.1576654"
"224","석촌동 고분군","송파강동 한강길.kmz","37.502915","127.102017"
"225","목마공원","안양천길.kmz","37.5385478","126.8856118"
"226","오목교역 지하철 5호선","안양천길.kmz","37.5243734","126.8764509"
"227","구일역 인근","안양천길.kmz","37.4966215","126.8691392"
"228","독산역 인근","안양천길.kmz","37.4650326","126.8844645"
"229","구일역 지하철 1호선","안양천길.kmz","37.4970839","126.8715909"
"230","양재역 지하철 신분당선 3호선","양재천.kmz","37.4844447","127.0336186"
"231","양재시민의숲역 지하철 신분당선","여의천.kmz","37.4706443","127.0378973"
"232","나이아가라 호텔","영등포동작구한강길.kmz","37.5533611","126.879017"
"233","국립현충원 인근","영등포동작구한강길.kmz","37.5048659","126.9758854"
"234","흑석역 지하철 9호선","영등포동작구한강길.kmz","37.5085557","126.9635387"
"235","동작대교 인근","용산한강길.kmz","37.515546","126.9755555"
"236","서빙고역 지하철 중앙선","용산한강길.kmz","37.519481","126.988908"
"237","서울선곡초등학교 인근","우이천 길.kmz","37.6175395","127.0573187"
"238","강북중학교 인근","우이천 길.kmz","37.6454591","127.0264513"
"239","창골축구장","우이천 길.kmz","37.6484869","127.0409754"
"240","고산자로58길 인근","정릉천 길.kmz/임시 장소","37.5885391","127.0375769"
"241","세종대왕기념관","정릉천 길.kmz/임시 장소","37.5907503","127.0434613"
"242","경동제일교회","중랑천 길.kmz/임시 장소","37.6024567","127.0846754"
"243","도봉산역 지하철 1 7호선","중랑천 길.kmz","37.6802067","127.0457854"
"244","두산아파트 석계초등학교 인근","중랑천 길.kmz","37.6125838","127.0721082"
"245","불암산성","중랑천 길.kmz","37.666388","127.0941481"
"246","월계역 지하철 1호선","중랑천 길.kmz","37.6339809","127.0590186"
"247","청계2가 인근","청계천 길.kmz","37.5682981","126.985506"
"248","한양대역 지하철 2호선","청계천 길.kmz","37.5559538","127.0435153"
"249","우성아파트 인근","탄천 길.kmz","37.5023244","127.0693084"
"250","삼성역 지하철 2호선","탄천 길.kmz","37.5081705","127.0620584"
